Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,528.5,319.833,0,134.1,0,0,NA,NA,NA,NA,NA
2,1,2,527.5,319.167,0,134.8,1.202,1.202,NA,1.202,NA,-146.31,NA
3,1,3,525.833,318.5,0,137.6,2.997,2.981,NA,1.795,NA,-158.199,-11.889
4,1,4,525.833,317.833,0,137.6,3.664,3.333,NA,0.667,NA,-90,68.199
5,1,5,525.833,317.833,0,135.1,3.664,3.333,NA,0,NA,0,90
6,1,6,523.833,316.833,0,135.6,5.9,5.548,NA,2.236,NA,-153.435,-153.435
7,1,7,522.833,316.167,0,133.2,7.101,6.749,NA,1.202,NA,-146.31,7.125
8,1,8,522.167,315.833,0,137.1,7.847,7.491,NA,0.745,NA,-153.435,-7.125
9,1,9,521.5,315.167,0,135.2,8.79,8.413,NA,0.943,NA,-135,18.435
10,1,10,520.167,314.833,0,138.4,10.164,9.718,NA,1.374,NA,-165.964,-30.964
11,1,11,518.167,313.167,0,138.5,12.767,12.297,NA,2.603,NA,-140.194,25.769
12,1,12,518.167,313.167,0,143.6,12.767,12.297,NA,0,NA,0,140.194
13,1,13,515.167,312.5,0,138.4,15.841,15.217,NA,3.073,NA,-167.471,-167.471
14,1,14,512.5,311.167,0,134.5,18.822,18.196,NA,2.981,NA,-153.435,14.036
15,1,15,509.833,309.833,0,132.1,21.803,21.177,NA,2.981,NA,-153.435,0
16,1,16,507.167,308.167,0,133,24.948,24.315,NA,3.145,NA,-147.995,5.44
17,1,17,507.167,306.5,0,138,26.615,25.157,NA,1.667,NA,-90,57.995
18,1,18,505.167,306.167,0,137.1,28.642,27.041,NA,2.028,NA,-170.538,-80.538
19,1,19,504.5,306.167,0,135.3,29.309,27.618,NA,0.667,NA,180,-9.462
20,1,20,502.833,305.833,0,137.1,31.009,29.237,NA,1.7,NA,-168.69,11.31
21,1,21,501.167,305.5,0,135.8,32.708,30.863,NA,1.7,NA,-168.69,0
